2025-12-17 20:42:03 - INFO - Loading data.
2025-12-17 22:40:50 - INFO - Loading data.
2025-12-18 00:35:49 - INFO - Building chart with motif: Count per grade, series: Pub/Priv, normalize: True, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:36:27 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: True, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:36:43 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 00:38:39 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Equival'}
2025-12-18 00:41:06 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: True, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Equival'}
2025-12-18 00:41:09 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Equival'}
2025-12-18 00:41:27 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Artísticos'}
2025-12-18 00:41:36 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Cient-Human'}
2025-12-18 00:41:45 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:44:51 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:45:33 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:45:42 - INFO - Building chart with motif: Count per year, series: Covid, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:45:47 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:47:03 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:50:18 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:50:54 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:51:23 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:53:34 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:56:27 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:57:31 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 00:58:34 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:00:55 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:01:03 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:01:43 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:01:49 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:03:54 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:04:46 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
